plan_name,per_kwh,last_update,company_name,pricing,monthly_charge,phone,intro_price,rate_good_for,cancel_fee,rate_end,renewable_energy,comments,provider,rate_type,retrieval_date
Jaffrey GREEN Default Small Commercial,$0.10968,11/22/2024,Community Power - Town of Jaffrey,Fixed,No,1-888-875-1711,No,20 months,No,"November, 2025 *Last meter read*",34.30 %,Stable rate program offered by Standard Power open to customers in Jaffrey. Go to https://JaffreyCommunityPower.com for more information and to sign up.,Eversource,SmallCommercialCompare,2024-12-04
Ultimate Perks 12,$0.17000,12/3/2024,Ambit Energy,Fixed,No,1-877-282-6248,No,12 months,No,*Last meter read*,0.00 %,Only available to new Ambit customers,Liberty,ResidentialCompare,2024-12-04
SmartEnergy -  Web Only Rate,$0.11670,11/1/2024,SmartEnergy,Fixed,No,1-800-760-1207,No,6 months,No,"December, 2024 *Last meter read*",100.00 %,Enjoy a fixed rate for 6 months while receiving 100% renewable electricity with no hidden charges and no early terminations fees!,Eversource,ResidentialCompare,2024-12-04
Swanzey 50,$0.12050,11/27/2024,Swanzey Community Power from Town of Swanzey,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",50.00 %,Adds voluntary renewable energy (NH Class I RECs) to total 50%.,Eversource,ResidentialCompare,2024-12-04
Swanzey Standard,$0.11471,11/27/2024,Swanzey Community Power from Town of Swanzey,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",33.40 %,Default option offered by the Town of Swanzey. Includes 10% more renewable energy from Class I sources than required by state law.,Eversource,ResidentialCompare,2024-12-04
Swanzey Basic,$0.11100,11/27/2024,Swanzey Community Power from Town of Swanzey,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",23.40 %,Meets state minimum renewable energy requirements.,Eversource,ResidentialCompare,2024-12-04
Swanzey 100,$0.13900,11/27/2024,Swanzey Community Power from Town of Swanzey,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",100.00 %,Adds voluntary renewable energy (NH Class I RECs) to total 100%.,Eversource,ResidentialCompare,2024-12-04
Think Basic 11,$0.09900,11/27/2024,Think Energy,Fixed,No,1-833-669-3080,No,11 months,No,*Last meter read*,0.00 %,Environmental Donation Available. Contact Think for details.,Eversource,ResidentialCompare,2024-12-04
Think Clean 12,$0.11900,11/27/2024,Think Energy,Fixed,No,1-833-669-3080,No,12 months,No,*Last meter read*,100.00 %,Think Clean 12,Eversource,ResidentialCompare,2024-12-04
Think Clean 36,$0.12500,11/27/2024,Think Energy,Fixed,No,1-833-669-3080,No,36 months,No,*Last meter read*,100.00 %,Think Clean 36,Eversource,ResidentialCompare,2024-12-04
Power Your Tomorrow Fixed - 12,$0.12470,11/11/2024,Town Square Energy,Fixed,No,1-877-430-0093,No,12 months,No,*Last meter read*,0.00 %,12 monthly bill cycles fixed at 12.47 cents/kWh. See full terms in terms of service.,Eversource,ResidentialCompare,2024-12-04
Power Your Tomorrow Fixed - 24,$0.12970,11/11/2024,Town Square Energy,Fixed,No,1-877-430-0093,No,24 months,No,*Last meter read*,0.00 %,24 monthly bill cycles fixed at 12.97 cents/kWh. See full terms in terms of service.,Eversource,ResidentialCompare,2024-12-04
Wilton Standard,$0.11471,11/27/2024,Wilton Community Power from Town of Wilton,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",33.40 %,Default program option offered by Town of Wilton. Includes 10% more renewable energy from Class I sources than required by state law,Eversource,ResidentialCompare,2024-12-04
Wilton 50,$0.12050,11/27/2024,Wilton Community Power from Town of Wilton,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",50.00 %,Includes voluntary renewable energy (NH Class I RECs) to total 50% renewable energy,Eversource,ResidentialCompare,2024-12-04
Wilton Basic,$0.11100,11/27/2024,Wilton Community Power from Town of Wilton,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",23.40 %,Meets state minimum renewable energy requirements,Eversource,ResidentialCompare,2024-12-04
Wilton 100,$0.13900,11/27/2024,Wilton Community Power from Town of Wilton,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",100.00 %,Includes voluntary renewable energy (NH Class I RECs) to total 100%,Eversource,ResidentialCompare,2024-12-04
SureLock 24,$0.12090,12/2/2024,"XOOM Energy New Hampshire, LLC",Fixed,No,1-888-997-8979,No,24 months,$200.00,*Last meter read*,0.00 %,Comments:,Eversource,ResidentialCompare,2024-12-04
SimpleClean,$0.17490,12/2/2024,"XOOM Energy New Hampshire, LLC",Variable,No,1-888-997-8979,No,1 months,No,*Last meter read*,50.00 %,Comments:,Eversource,ResidentialCompare,2024-12-04
