plan_name,per_kwh,last_update,company_name,pricing,monthly_charge,phone,intro_price,rate_good_for,cancel_fee,rate_end,renewable_energy,comments,provider,rate_type,retrieval_date
Clean 50 - Commercial,$0.10000,10/8/2024,Community Power Coalition of New Hampshire,Fixed,No,1-866-603-7697,No,6 months,No,"January, 2025 *Last meter read*",50.00 %,visit www.communitypowernh.gov to see if city or town has implemented Community Power with the Coalition,Eversource,SmallCommercialCompare,2024-11-02
Milford GREEN 100% Small Commercial,$0.13648,10/23/2024,Community Power - Town of Milford,Fixed,No,1-888-875-1711,No,20 months,No,"November, 2025 *Last meter read*",100.00 %,Stable rate program offered by Standard Power open to customers in Milford. Go to https://MilfordCommunityPower.com for more information and to sign up.,Eversource,SmallCommercialCompare,2024-11-02
Milford GREEN 50% Small Commercial,$0.11648,10/23/2024,Community Power - Town of Milford,Fixed,No,1-888-875-1711,No,20 months,No,"November, 2025 *Last meter read*",50.00 %,Stable rate program offered by Standard Power open to customers in Milford. Go to https://MilfordCommunityPower.com for more information and to sign up.,Eversource,SmallCommercialCompare,2024-11-02
Milford PLUS 10% Small Commercial,$0.10968,10/23/2024,Community Power - Town of Milford,Fixed,No,1-888-875-1711,No,20 months,No,"November, 2025 *Last meter read*",34.30 %,Stable rate program offered by Standard Power open to customers in Milford. Go to https://MilfordCommunityPower.com for more information and to sign up.,Eversource,SmallCommercialCompare,2024-11-02
New Boston GREEN 50% Small Commercial,$0.11648,10/23/2024,Community Power - Town of New Boston,Fixed,No,1-888-875-1711,No,20 months,No,"November, 2025 *Last meter read*",50.00 %,Stable rate program offered by Standard Power open to customers in New Boston. Go to https://NewBostonCommunityPower.com for more information and to sign up.,Eversource,SmallCommercialCompare,2024-11-02
Jaffrey BASIC Small Commercial,$0.10568,10/23/2024,Community Power - Town of Jaffrey,Fixed,No,1-888-875-1711,No,20 months,No,"November, 2025 *Last meter read*",24.30 %,Stable rate program offered by Standard Power open to customers in Jaffrey. Go to https://JaffreyCommunityPower.com for more information and to sign up.,Eversource,SmallCommercialCompare,2024-11-02
Jaffrey GREEN 100% Small Commercial,$0.13648,10/23/2024,Community Power - Town of Jaffrey,Fixed,No,1-888-875-1711,No,20 months,No,"November, 2025 *Last meter read*",100.00 %,Stable rate program offered by Standard Power open to customers in Jaffrey. Go to https://JaffreyCommunityPower.com for more information and to sign up.,Eversource,SmallCommercialCompare,2024-11-02
Jaffrey GREEN 50% Small Commercial,$0.11648,10/23/2024,Community Power - Town of Jaffrey,Fixed,No,1-888-875-1711,No,20 months,No,"November, 2025 *Last meter read*",50.00 %,Stable rate program offered by Standard Power open to customers in Jaffrey. Go to https://JaffreyCommunityPower.com for more information and to sign up.,Eversource,SmallCommercialCompare,2024-11-02
Jaffrey GREEN Default Small Commercial,$0.10968,10/23/2024,Community Power - Town of Jaffrey,Fixed,No,1-888-875-1711,No,20 months,No,"November, 2025 *Last meter read*",34.30 %,Stable rate program offered by Standard Power open to customers in Jaffrey. Go to https://JaffreyCommunityPower.com for more information and to sign up.,Eversource,SmallCommercialCompare,2024-11-02
New Boston GREEN Default Small Commercial,$0.10968,10/23/2024,Community Power - Town of New Boston,Fixed,No,1-888-875-1711,No,20 months,No,"November, 2025 *Last meter read*",34.30 %,Stable rate program offered by Standard Power open to customers in New Boston. Go to https://NewBostonCommunityPower.com for more information and to sign up.,Eversource,SmallCommercialCompare,2024-11-02
