plan_name,per_kwh,last_update,company_name,pricing,monthly_charge,phone,intro_price,rate_good_for,_compare,cancel_fee,rate_end,_sign_up,_learn_more,renewable_energy,comments,retrieval_date
Winter Break 24,$0.18800,11/1/2024,Ambit Energy,Fixed,No,1-877-282-6248,No,24 months,Compare,No,*Last meter read*,Sign Up!,Learn More,0.00 %,"As temperatures drop, your savings will rise. Get 50% off your energy charges on bill cycles beginning November 1st through the end of February. Only available to new Ambit customers",2024-11-02
Ultimate Perks 12,$0.14250,11/1/2024,Ambit Energy,Fixed,No,1-877-282-6248,No,12 months,Compare,No,*Last meter read*,Sign Up!,Learn More,0.00 %,Only available to new Ambit customers,2024-11-02
Winter Break 12,$0.18500,11/1/2024,Ambit Energy,Fixed,No,1-877-282-6248,No,12 months,Compare,No,*Last meter read*,Sign Up!,Learn More,0.00 %,"As temperatures drop, your savings will rise. Get 50% off your energy charges on bill cycles beginning November 1st through the end of February. Only available to new Ambit customers",2024-11-02
White Mountain Select 12 Month Term,$0.13500,11/1/2024,Ambit Energy,Fixed,No,1-877-282-6248,No,12 months,Compare,No,*Last meter read*,Sign Up!,Learn More,0.00 %,Only available to new Ambit customers,2024-11-02
Affordable Wind 12,$0.12290,11/1/2024,CleanSky Energy,Fixed,No,1-888-355-6205,No,12 months,Compare,$75.00,*Last meter read*,Sign Up!,Learn More,100.00 %,Have a question about a plan or need help placing an order?,2024-11-02
Embrace Green 6,$0.12490,11/1/2024,CleanSky Energy,Fixed,No,1-888-355-6205,No,6 months,Compare,$50.00,*Last meter read*,Sign Up!,Learn More,100.00 %,Have a question about a plan or need help placing an order?,2024-11-02
Ultra Clean Solar 24,$0.13390,11/1/2024,CleanSky Energy,Fixed,No,1-888-355-6205,No,24 months,Compare,$150.00,*Last meter read*,Sign Up!,Learn More,100.00 %,Have a question about a plan or need help placing an order?,2024-11-02
Embrace Green 12,$0.11990,11/1/2024,CleanSky Energy,Fixed,No,1-888-355-6205,No,12 months,Compare,$75.00,*Last meter read*,Sign Up!,Learn More,100.00 %,Have a question about a plan or need help placing an order?,2024-11-02
Embrace Green 24,$0.12990,11/1/2024,CleanSky Energy,Fixed,No,1-888-355-6205,No,24 months,Compare,$150.00,*Last meter read*,Sign Up!,Learn More,100.00 %,Have a question about a plan or need help placing an order?,2024-11-02
Jaffrey GREEN 50%,$0.11648,10/23/2024,Community Power - Town of Jaffrey,Fixed,No,1-888-875-1711,No,20 months,Compare,No,"November, 2025 *Last meter read*",Sign Up!,Learn More,50.00 %,Stable rate program offered by Standard Power open to customers in Jaffrey. Go to https://JaffreyCommunityPower.com for more information and to sign up.,2024-11-02
Jaffrey BASIC,$0.10568,10/23/2024,Community Power - Town of Jaffrey,Fixed,No,1-888-875-1711,No,20 months,Compare,No,"November, 2025 *Last meter read*",Sign Up!,Learn More,24.30 %,Stable rate program offered by Standard Power open to customers in Jaffrey. Go to https://JaffreyCommunityPower.com for more information and to sign up.,2024-11-02
Jaffrey GREEN 100%,$0.13648,10/23/2024,Community Power - Town of Jaffrey,Fixed,No,1-888-875-1711,No,20 months,Compare,No,"November, 2025 *Last meter read*",Sign Up!,Learn More,100.00 %,Stable rate program offered by Standard Power open to customers in Jaffrey. Go to https://JaffreyCommunityPower.com for more information and to sign up.,2024-11-02
Jaffrey GREEN Default,$0.10968,10/23/2024,Community Power - Town of Jaffrey,Fixed,No,1-888-875-1711,No,20 months,Compare,No,"November, 2025 *Last meter read*",Sign Up!,Learn More,34.30 %,Stable rate program offered by Standard Power open to customers in Jaffrey. Go to https://JaffreyCommunityPower.com for more information and to sign up.,2024-11-02
Milford PLUS 10%,$0.10968,10/23/2024,Community Power - Town of Milford,Fixed,No,1-888-875-1711,No,20 months,Compare,No,"November, 2025 *Last meter read*",Sign Up!,Learn More,34.30 %,Stable rate program offered by Standard Power open to customers in Milford. Go to https://MilfordCommunityPower.com for more information and to sign up.,2024-11-02
Milford GREEN 50%,$0.11648,10/23/2024,Community Power - Town of Milford,Fixed,No,1-888-875-1711,No,20 months,Compare,No,"November, 2025 *Last meter read*",Sign Up!,Learn More,50.00 %,Stable rate program offered by Standard Power open to customers in Milford. Go to https://MilfordCommunityPower.com for more information and to sign up.,2024-11-02
Milford DEFAULT,$0.10568,10/23/2024,Community Power - Town of Milford,Fixed,No,1-888-875-1711,No,20 months,Compare,No,"November, 2025 *Last meter read*",Sign Up!,Learn More,24.30 %,Stable rate program offered by Standard Power open to customers in Milford. Go to https://MilfordCommunityPower.com for more information and to sign up.,2024-11-02
