time_stamp,last_seen,sensor_index,name,model,firmware_version,latitude,longitude,altitude,temperature_a,temperature_b,time_executed,pm2.5_10minute_a,pm2.5_10minute_b,pm2.5_diff,pm2.5_reldiff,pm2.5_jumpa,pm2.5_jumpb,pm2.5_jumpreldiff,pm2.5_qa_flag,pm2.5_uncorrected_avg,humidity_a,humidity_b,rh_diff,rh_jumpa,rh_jumpb,rh_jumpdiff,rh_qa_flag,rh_avg,pm2.5_corrected,updated_version
2025-07-25 00:00:04,07-24-2025 23:58:06,1202,KSC 19,PA-II,6.06b,42.936554,-72.27102,488,86,None,07-25-2025 00:00:01,24.3,22.6,1.7,7.0,0,0,0,Passed,23.45,74,0,74.0,0,0,0.0,RHZB,74,11.28,True
2025-07-25 00:00:04,07-24-2025 23:23:38,154045,MHT3 Northwest School Manchester,PA-II-SD,7.02,42.999123,-71.48408,240,84,0,07-25-2025 00:00:01,26.9,25.8,1.1,4.0,0,0,0,T,T,,51,0,0,0,0.0,Passed,,,True
2025-07-25 00:00:04,07-24-2025 23:58:00,154425,MHT4 North End Manchester,PA-II-SD,7.02,43.023964,-71.46163,383,84,0,07-25-2025 00:00:01,24.4,24.1,0.3,1.0,0,0,0,Passed,24.25,54,0,54.0,0,0,0.0,RHZB,54,13.17,True
2025-07-25 00:00:04,07-24-2025 23:58:02,160753,KSC 42,PA-II,7.02,42.957714,-72.3163,521,84,0,07-25-2025 00:00:01,24.8,25.6,0.8,3.0,0,0,0,Passed,25.2,52,0,52.0,0,0,0.0,RHZB,52,13.89,True
2025-07-25 00:00:04,07-24-2025 23:59:00,175137,MHT9 Hanover Street,PA-II-FLEX,7.04,42.990227,-71.43767,357,86,86,07-25-2025 00:00:01,18.8,16.9,1.9,11.0,0,0,0,Passed,17.85,53,53,0.0,0,0,0.0,Passed,53.0,9.34,True
2025-07-25 00:00:04,07-24-2025 23:58:42,187097,Convergent,PA-II-FLEX,7.04,42.758415,-71.65097,605,82,82,07-25-2025 00:00:01,14.8,13.8,1.0,7.0,0,0,0,Passed,14.3,58,58,0.0,0,0,0.0,Passed,58.0,6.82,True
2025-07-25 00:00:04,07-24-2025 23:59:19,194263,Pembroke_CAMP_40,PA-II-FLEX,7.04,43.13209,-71.46017,204,86,86,07-25-2025 00:00:01,25.6,25.0,0.6,2.0,0,0,0,Passed,25.3,53,53,0.0,0,0,0.0,Passed,53.0,13.88,True
2025-07-25 00:00:04,07-24-2025 23:59:29,154041,MHT2 Glosser/Parkside School2 Manchester,PA-II-SD,7.02,42.988956,-71.47882,190,84,0,07-25-2025 00:00:01,22.3,22.4,0.1,0.0,0,0,0,Passed,22.35,53,0,53.0,0,0,0.0,RHZB,53,12.08,True
2025-07-25 00:00:04,07-24-2025 23:58:04,196631,We Share The Air,PA-II-FLEX,7.04,43.18085,-70.866714,140,86,86,07-25-2025 00:00:01,20.9,20.3,0.6,3.0,0,0,0,Passed,20.6,51,51,0.0,0,0,0.0,Passed,51.0,11.16,True
2025-07-25 00:00:04,07-24-2025 23:59:03,220415,Nashua 1,PA-II-ZEN,7.04,42.75815,-71.4652,151,88,88,07-25-2025 00:00:01,11.7,12.2,0.5,4.0,0,0,0,Passed,11.95,46,46,0.0,0,0,0.0,Passed,46.0,6.23,True
2025-07-25 00:00:04,07-24-2025 23:59:56,221421,Nashua 2,PA-II-ZEN,7.04,42.7496,-71.51419,198,85,85,07-25-2025 00:00:01,13.6,12.7,0.9,7.0,0,0,0,Passed,13.15,49,49,0.0,0,0,0.0,Passed,49.0,6.75,True
