datetime,location,incident_number,details,retrieval_date
11/28/2024 00:02,Downtown,24094562,SPECIAL ATTENTION,2024-11-29
11/28/2024 16:17,112 Reservoir Ave: @HILLSIDE MIDDLE SCHOOL,24094645,CHECK VEHICLE,2024-11-29
11/28/2024 19:43,188 Massabesic St: @SHOP-N-GO,24094659,MENTAL HEALTH ISSUE,2024-11-29
11/28/2024 19:31,405 Valley St: @MPD,24094658,CHECK CONDITION OF SUBJECT,2024-11-29
11/28/2024 19:30,535 Beech St: @CENTRAL HIGH SCHOOL,24094657,ALARM BURGLARY,2024-11-29
11/28/2024 19:01,20 Warsaw Ave,24094656,CHECK AREA FOR PROBLEM,2024-11-29
11/28/2024 19:00,659 Canal St,24094655,CHECK CONDITION OF SUBJECT,2024-11-29
11/28/2024 18:56,199 Manchester St: @FIT - FAMLIES IN TRANSITION,24094653,UNAUTHORIZED USE OF MV,2024-11-29
11/28/2024 18:54,75 Dubuque St,24094654,CHECK CONDITION OF SUBJECT,2024-11-29
11/28/2024 18:23,25 River Bend Way,24094652,CHECK SECURITY OF BUILDING,2024-11-29
11/28/2024 17:35,395 S Mammoth Rd,24094650,ACCIDENT HIT AND RUN,2024-11-29
11/28/2024 17:29,77 Sundial Ave: @77 SUNDIAL AVE,24094649,ALARM BURGLARY,2024-11-29
11/28/2024 17:20,405 Valley St: @MPD,24094648,ADMINISTRATIVE MISC,2024-11-29
11/28/2024 16:28,450 SECOND ST: @CYCLES ETC,24094647,ALARM BURGLARY,2024-11-29
11/28/2024 16:26,181 Cedar St,24094646,UNRULY JUVENILE,2024-11-29
11/28/2024 16:09,221 Lake Ave,24094644,VIOLATION OF BAIL COND IN PRO,2024-11-29
11/28/2024 12:00,1019 SECOND ST: @ALLTOWN MOBIL SECOND ST,24094628,BUSINESS CHECK,2024-11-29
11/28/2024 15:48,456 Union St: @1269 CAFE,24094642,MENTAL HEALTH ISSUE,2024-11-29
11/28/2024 15:48,679 Belmont St,24094643,UNWANTED SUBJECT,2024-11-29
11/28/2024 15:22,90 Eastern Ave: @DEERHAVEN PRESERVE #90,24094641,CRIMINAL MISCHIEF,2024-11-29
11/28/2024 15:19,140 Central St: @HELPING HANDS OUTREACH MINIS,24094640,CHECK CONDITION OF SUBJECT,2024-11-29
11/28/2024 15:11,Maple St / Valley St,24094639,CHECK SUBJECT,2024-11-29
11/28/2024 15:05,75 Parkside Ave: @PARKSIDE MIDDLE SCHOOL,24094638,ALARM BURGLARY,2024-11-29
11/28/2024 14:53,251 Maple St: @SWEENEY POST,24094637,ALARM BURGLARY,2024-11-29
11/28/2024 14:45,808 Grove St,24094636,ASSIST FIRE,2024-11-29
11/28/2024 14:16,425 Lake Ave: @LAKE AVE FOOD MART,24094635,BUSINESS CHECK,2024-11-29
11/28/2024 14:08,260 Cedar St,24094634,ACCIDENT HIT AND RUN,2024-11-29
11/28/2024 13:58,265 Village Circle Way: @COUNTRYSIDE VILLAGE #265,24094633,NOISE COMPLAINT,2024-11-29
11/28/2024 13:18,268 Lowell St,24094631,HANGUP CALL,2024-11-29
11/28/2024 13:15,39 Jobin Dr,24094630,CHECK CONDITION OF SUBJECT,2024-11-29
11/28/2024 19:44,700 Elm St: @DOUBLETREE HOTEL,24094660,HOMELESS ISSUES,2024-11-29
11/28/2024 19:45,Elm St / W Bridge St: @Bridge Street Bridge,24094661,CHECK CONDITION OF SUBJECT,2024-11-29
11/28/2024 20:00,Massabesic St / Spruce St,24094662,BROADCAST MESSAGE,2024-11-29
11/28/2024 20:04,15 Country Club Dr: @Heritage by the River,24094665,CHECK CONDITION OF SUBJECT,2024-11-29
11/28/2024 23:30,327 Manchester St,24094692,CHECK CONDITION OF SUBJECT,2024-11-29
11/28/2024 23:13,80 Garden Dr,24094691,HANGUP CALL,2024-11-29
11/28/2024 22:59,205 Blucher St,24094690,CHECK AREA FOR PROBLEM,2024-11-29
11/28/2024 22:55,415 Dubuque St,24094689,PARKING COMPLAINT,2024-11-29
11/28/2024 22:42,50 Sentinel Ct: @REDSTONE APARTMENTS #50,24094687,ANIMAL COMPLAINTS,2024-11-29
11/28/2024 22:27,Lake Ave / Union St,24094685,TRAFFIC STOP,2024-11-29
11/28/2024 22:23,700 Elm St: @DOUBLETREE HOTEL,24094686,CHECK CONDITION OF SUBJECT,2024-11-29
11/28/2024 22:16,161 Garden Dr: @MANCHESTER GARDENS #161,24094683,UNWANTED SUBJECT,2024-11-29
11/28/2024 22:10,59 Winter St,24094682,NEIGHBOR COMPLAINT,2024-11-29
11/28/2024 21:51,178 Cedar St: @178 CEDAR ST APTS,24094679,CHECK AREA FOR PROBLEM,2024-11-29
11/28/2024 21:50,309 Cedar St,24094680,ARGUMENT,2024-11-29
11/28/2024 21:48,1095 Bodwell Rd: @unit 4,24094681,MISSING JUVENILE,2024-11-29
11/28/2024 21:42,921 - 932 MAMMOTH RD,24094677,SPECIAL ATTENTION,2024-11-29
11/28/2024 21:42,210 EDDY RD: @MOBIL MART,24094675,BUSINESS CHECK,2024-11-29
11/28/2024 21:41,1279 S Willow St: @DRAFTKINGS SPORTS BOOK,24094676,FIGHT,2024-11-29
11/28/2024 21:40,210 EDDY RD: @MOBIL MART,24094674,BUSINESS CHECK,2024-11-29
11/28/2024 21:40,465 S Willow St: @Laundromax,24094678,ACCIDENT HIT AND RUN UNK INJUR,2024-11-29
11/28/2024 21:27,535 Beech St: @CENTRAL HIGH SCHOOL,24094673,ALARM BURGLARY,2024-11-29
