datetime,location,incident_number,retrieval_date,details
02/02/2025 00:01,10 Orange St,25008061,2025-02-03,
02/02/2025 17:09,210 EDDY RD: @MOBIL MART,25008180,2025-02-03,BUSINESS CHECK
02/02/2025 15:41,106 Market St: @FAMILIES IN TRANSITION #106,25008172,2025-02-03,CHECK AREA FOR PROBLEM
02/02/2025 15:47,93 Benjamin St,25008173,2025-02-03,ABANDON VEHICLE
02/02/2025 16:14,21 Treetop Ln,25008175,2025-02-03,CIVIL STANDBY
02/02/2025 16:16,Beech St / Merrimack St,25008174,2025-02-03,TRAFFIC STOP
02/02/2025 16:36,425 LAKE AVE: @LAKE AVE FOOD MART,25008176,2025-02-03,BUSINESS CHECK
02/02/2025 16:37,131 Myrtle St,25008177,2025-02-03,PARKING COMPLAINT
02/02/2025 16:39,1528 Elm St: @RINES CENTER,25008178,2025-02-03,ALARM BURGLARY
02/02/2025 16:44,887 Hanover St: @SHELL HANOVER ST,25008179,2025-02-03,ANIMAL COMPLAINTS
02/02/2025 17:11,1076 MERRILL ST,25008181,2025-02-03,PARKING COMPLAINT
02/02/2025 15:21,312 Seames Dr,25008170,2025-02-03,NOISE COMPLAINT
02/02/2025 17:12,39 Beech St: @Beech St Shelter,25008183,2025-02-03,UNWANTED SUBJECT
02/02/2025 17:13,1 ELLIOT WAY: @ELLIOT HOSPITAL,25008182,2025-02-03,BUSINESS CHECK
02/02/2025 17:19,31 Dubuque St,25008184,2025-02-03,MEDICAL PROBLEM
02/02/2025 17:35,112 RESERVOIR AVE: @HILLSIDE MIDDLE SCHOOL-MODULAR,25008185,2025-02-03,SPECIAL ATTENTION
02/02/2025 17:40,25008187,,2025-02-03,
02/02/2025 17:45,341 Kimball St,25008186,2025-02-03,NOISE COMPLAINT
02/02/2025 17:56,Edward J Roy Dr / Wellington Hill Rd,25008188,2025-02-03,TRAFFIC STOP
02/02/2025 17:56,1528 Elm St: @HEALTH DEPARTMENT (RINES CENTER),25008189,2025-02-03,ALARM BURGLARY
02/02/2025 15:41,216 ELM ST: @DUNKIN DONUTS ELM/VALLEY,25008171,2025-02-03,BUSINESS CHECK
02/02/2025 15:20,1602 Elm St: @MOBIL ELM ST,25008169,2025-02-03,ROBBERY
02/02/2025 18:00,561 AUBURN ST,25008191,2025-02-03,ACCIDENT HIT AND RUN
02/02/2025 13:23,S Willow St / 293 N Off Ramp To S Willow St N Exit,25008158,2025-02-03,ACCIDENT HIT AND RUN
02/02/2025 11:51,Elm St / Valley St,25008150,2025-02-03,TRAFFIC STOP
02/02/2025 11:54,160 Brook St,25008151,2025-02-03,CIVIL STANDBY
02/02/2025 12:25,405 Valley St: @MPD,25008152,2025-02-03,ADMINISTRATIVE MISC
02/02/2025 12:59,130 Maple St,25008153,2025-02-03,ACCIDENT
02/02/2025 13:03,12 Dale St,25008155,2025-02-03,CHECK CONDITION OF SUBJECT
02/02/2025 13:03,777 S Willow St: @MICHAELS ARTS & CRAFTS,25008154,2025-02-03,TRAFFIC STOP
02/02/2025 13:15,Maple St / Silver St,25008156,2025-02-03,TRAFFIC STOP
