visibility,valid,humidity,humidity_S,wind,barometricPressure,validTimeLocal,validTimeUtc,temperature_S,temperature,high,low,feelsLikeTemperature,feelsLikeTemperature_S,dewPoint,shortDescription,description,icon,iconCode,lastUpdated,sunsetTime,sunriseTime,city_name,latitude,longitude
10,True,36,36,S 6 mph,30.04,2025-06-04T17:55:54-0400,1749074154,84,84,85,51,84,84,54,Sunny,Sunny,01,32,2025-05-04 17:55:00,08:21 PM,05:05 AM,Alton,43.46,-71.22
10,True,39,39,SSW 6 mph,30.05,2025-06-04T17:51:09-0400,1749073869,85,85,87,53,85,85,57,Sunny,Sunny,01,32,2025-05-04 17:51:00,08:20 PM,05:09 AM,Amherst,42.86,-71.62
10,True,40,40,S 9 mph,30.05,2025-06-04T18:00:25-0400,1749074425,84,84,85,53,84,84,57,Sunny,Sunny,01,32,2025-05-04 18:00:00,08:22 PM,05:09 AM,Antrim,43.04,-71.95
10,True,34,34,S 4 mph,30.03,2025-06-04T17:52:43-0400,1749073963,86,86,87,49,86,86,54,Sunny,Sunny,01,32,2025-05-04 17:52:00,08:23 PM,05:06 AM,Ashland,43.7,-71.63
10,True,40,40,WSW 15 mph,30.03,2025-06-04T17:53:37-0400,1749074017,83,83,84,50,83,83,56,Sunny,Sunny,01,32,2025-05-04 17:53:00,08:23 PM,05:03 AM,Bartlett,44.07,-71.28
10,True,36,36,S 6 mph,30.04,2025-06-04T17:59:48-0400,1749074388,84,84,85,51,84,84,54,Sunny,Sunny,01,32,2025-05-04 17:59:00,08:22 PM,05:06 AM,Belmont,43.44,-71.48
10,True,40,40,S 9 mph,30.05,2025-06-04T17:54:05-0400,1749074045,84,84,85,51,84,84,57,Sunny,Sunny,01,32,2025-05-04 17:54:00,08:22 PM,05:10 AM,Bennington,43.0,-71.92
10,True,32,32,W 6 mph,30.01,2025-06-04T18:00:27-0400,1749074427,84,84,85,46,84,84,50,Sunny,Sunny,01,32,2025-05-04 18:00:00,08:25 PM,05:01 AM,Berlin city,44.49,-71.26
10,True,33,33,SW 6 mph,30.02,2025-06-04T17:52:18-0400,1749073938,82,82,86,49,82,82,50,Sunny,Sunny,01,32,2025-05-04 17:52:00,08:26 PM,05:04 AM,Bethlehem,44.28,-71.69
10,True,39,39,S 8 mph,30.04,2025-06-04T18:00:28-0400,1749074428,83,83,84,51,83,83,56,Sunny,Sunny,01,32,2025-05-04 18:00:00,08:24 PM,05:09 AM,Blodgett Landing,43.38,-72.04
